coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
0,,,,0.019921,,,,,0.1968
-0.105,,,,0.019193,,,,,0.19316
-0.21,,,,0.018544,,,,,0.18966
-0.315,,,,0.017974,,,,,0.18631
-0.42,,,,0.017483,,,,,0.18309
-0.525,,,,0.017049,,,,,0.18
-0.63,,,,0.016574,,,,,0.17687
-0.735,,,,0.0161,,,,,0.17373
-0.84,,,,0.015626,,,,,0.1706
-0.945,,,,0.015153,,,,,0.16746
-1.05,,,,0.01468,,,,,0.16432
-1.155,,,,0.014228,,,,,0.16123
-1.26,,,,0.013796,,,,,0.15818
-1.365,,,,0.013368,,,,,0.15515
-1.47,,,,0.012942,,,,,0.15212
-1.575,,,,0.01252,,,,,0.14911
-1.68,,,,0.012098,,,,,0.1461
-1.785,,,,0.011695,,,,,0.14312
-1.89,,,,0.0113,,,,,0.14017
-1.995,,,,0.010912,,,,,0.13723
-2.1,,,,0.010531,,,,,0.13431
-2.205,,,,0.010157,,,,,0.1314
-2.31,,,,0.0097903,,,,,0.12852
-2.415,,,,0.0094309,,,,,0.12565
-2.52,,,,0.0090793,,,,,0.1228
-2.625,,,,0.0087355,,,,,0.11996
-2.73,,,,0.0083994,,,,,0.11715
-2.835,,,,0.008071,,,,,0.11435
-2.94,,,,0.0077501,,,,,0.11157
-3.045,,,,0.0074359,,,,,0.1088
-3.15,,,,0.0071292,,,,,0.10605
-3.255,,,,0.0068298,,,,,0.10332
-3.36,,,,0.0065377,,,,,0.10061
-3.465,,,,0.0062531,,,,,0.097915
-3.57,,,,0.0059756,,,,,0.095234
-3.675,,,,0.0057049,,,,,0.09257
-3.78,,,,0.0054412,,,,,0.089921
-3.885,,,,0.0051843,,,,,0.087289
-3.99,,,,0.0049344,,,,,0.084673
-4.095,,,,0.0046913,,,,,0.082072
-4.2,,,,0.004455,,,,,0.079487
-4.305,,,,0.0042251,,,,,0.076917
-4.41,,,,0.0040014,,,,,0.074361
-4.515,,,,0.0037842,,,,,0.071821
-4.62,,,,0.0035733,,,,,0.069295
-4.725,,,,0.0033687,,,,,0.066783
-4.83,,,,0.0031701,,,,,0.064286
-4.935,,,,0.0029773,,,,,0.061801
-5.04,,,,0.0027902,,,,,0.059329
-5.145,,,,0.0026089,,,,,0.05687
-5.25,,,,0.0024334,,,,,0.054424
-5.355,,,,0.0022634,,,,,0.051992
-5.46,,,,0.0020985,,,,,0.04957
-5.565,,,,0.0019388,,,,,0.04716
-5.67,,,,0.0017842,,,,,0.044761
-5.775,,,,0.0016348,,,,,0.042374
-5.88,,,,0.0014904,,,,,0.039997
-5.985,,,,0.0013505,,,,,0.037631
-6.09,,,,0.001215,,,,,0.035275
-6.195,,,,0.0010839,,,,,0.032929
-6.3,,,,0.00095718,,,,,0.030594
-6.405,,,,0.00083491,,,,,0.028268
-6.51,,,,0.00071663,,,,,0.025951
-6.615,,,,0.00060195,,,,,0.023644
-6.72,,,,0.00049089,,,,,0.021345
-6.825,,,,0.00038344,,,,,0.019056
-6.93,,,,0.00027959,,,,,0.016775
-7.035,,,,0.00017928,,,,,0.014504
-7.14,,,,0.000081856,,,,,0.01224
-7.245,,,,-0.000012764,,,,,0.0099842
-7.35,,,,-0.00010459,,,,,0.0077355
-7.455,,,,-0.00019361,,,,,0.0054944
-7.56,,,,-0.00027983,,,,,0.0032606
-7.665,,,,-0.00036363,,,,,0.0010317
-7.77,,,,-0.0004455,,,,,-0.0011923
-7.875,,,,-0.00052537,,,,,-0.00341
-7.98,,,,-0.00060324,,,,,-0.0056213
-8.085,,,,-0.0006791,,,,,-0.0078262
-8.19,,,,-0.00075296,,,,,-0.010024
-8.295,,,,-0.00082529,,,,,-0.012229
-8.4,,,,-0.00089661,,,,,-0.014432
-8.505,,,,-0.0009669,,,,,-0.016633
-8.61,,,,-0.0010362,,,,,-0.018832
-8.715,,,,-0.0011044,,,,,-0.02103
-8.82,,,,-0.0011711,,,,,-0.023221
-8.925,,,,-0.0012353,,,,,-0.025401
-9.03,,,,-0.0013002,,,,,-0.02759
-9.135,,,,-0.0013657,,,,,-0.029788
-9.24,,,,-0.0014319,,,,,-0.031995
-9.345,,,,-0.0014988,,,,,-0.034212
-9.45,,,,-0.0015615,,,,,-0.03639
-9.555,,,,-0.0016203,,,,,-0.03853
-9.66,,,,-0.0016804,,,,,-0.040689
-9.765,,,,-0.001742,,,,,-0.042867
-9.87,,,,-0.0018049,,,,,-0.045064
-9.975,,,,-0.0018623,,,,,-0.047229
-10.08,,,,-0.0019485,,,,,-0.049604
-10.185,,,,-0.0020135,,,,,-0.051811
-10.29,,,,-0.0020573,,,,,-0.05385
-10.395,,,,-0.0020798,,,,,-0.055722
-10.5,,,,-0.0020811,,,,,-0.057425
