coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
125.22,9.28E-04,2.62E-03,1.43E-03,2.09E-03,2.03E-03,2.17E-03,2.44E-03,4.23E-03,5.95E-03
124.72,1.02E-03,2.71E-03,1.63E-03,2.36E-03,2.29E-03,2.49E-03,2.71E-03,4.47E-03,6.22E-03
124.22,0.001128687,0.002808243,0.001854391,0.002652837,0.002573732,0.00285941,0.00298447,0.004726858,0.006522685
123.72,0.001242408,0.002913919,0.00209464,0.002957553,0.002854248,0.003215986,0.003244652,0.00497589,0.00683816
123.22,0.001355244,0.003022147,0.00232362,0.003240861,0.003117798,0.003490364,0.003461835,0.005172716,0.007096754
122.72,0.001458667,0.00312712,0.002528711,0.003487749,0.003357263,0.003671886,0.003636093,0.005312454,0.007266498
122.22,0.001547737,0.003225009,0.002712668,0.003706019,0.003577945,0.003822603,0.003795093,0.005427703,0.007371478
121.72,0.001619661,0.003310496,0.002882472,0.003916316,0.003790901,0.004022544,0.00397129,0.005566253,0.007466199
121.22,0.001673576,0.003378747,0.003041653,0.004131732,0.004004061,0.00430896,0.004177065,0.005751005,0.007580189
120.72,0.001707814,0.003423517,0.003177762,0.004346885,0.00421711,0.00463505,0.004402023,0.005960943,0.007698581
120.22,0.001716186,0.003437098,0.003263727,0.004546505,0.004425129,0.004938701,0.004629877,0.006171041,0.007807098
119.72,0.001692217,0.00341888,0.003284386,0.00472473,0.004625872,0.005183955,0.00485298,0.006370924,0.007911321
119.22,0.001636364,0.003376862,0.003248158,0.004890862,0.004825531,0.005398712,0.005080649,0.006577216,0.008039147
118.72,0.001558432,0.00332403,0.003174234,0.00505789,0.00503332,0.005627719,0.005328397,0.006814482,0.008216697
118.22,0.001476025,0.003274518,0.003095714,0.005235429,0.005255438,0.005903998,0.005605335,0.007091953,0.008445324
117.72,0.001403692,0.003241045,0.003055406,0.005429113,0.00549276,0.006238447,0.005910012,0.007400947,0.008708643
117.22,0.001351862,0.003233584,0.003097826,0.005640415,0.005741555,0.006622493,0.006233166,0.007727721,0.008999122
116.72,0.001323816,0.003250985,0.003227635,0.005858466,0.005989604,0.007027877,0.006560334,0.008057854,0.00930898
116.22,0.001315868,0.003278665,0.003399,0.00605969,0.006215946,0.007406132,0.006869521,0.008368986,0.009612687
115.72,0.00131582,0.003293248,0.003534013,0.006211507,0.006392251,0.007685382,0.007128854,0.008618507,0.009848172
115.22,0.001309502,0.003275635,0.003578657,0.006291877,0.006500429,0.007856734,0.007322591,0.008792979,0.009996839
114.72,0.001286096,0.003217778,0.003516169,0.006294864,0.006536694,0.007942731,0.00745167,0.008903696,0.010067799
114.22,0.00124405,0.003129375,0.003375757,0.006230003,0.00650941,0.007959984,0.007521554,0.008962933,0.010074314
113.72,0.001189497,0.00303147,0.003220685,0.006117902,0.006436156,0.007940774,0.007545445,0.008991273,0.010058551
113.22,0.001126533,0.002935213,0.003083472,0.005974673,0.006329522,0.007895884,0.007533301,0.009000755,0.010041577
112.72,0.001055421,0.002839484,0.002956871,0.005809363,0.006196006,0.007825932,0.007490707,0.008993448,0.010020994
112.22,0.000970258,0.002733444,0.002813723,0.005626613,0.006039102,0.007723079,0.007418082,0.008962651,0.009982738
111.72,0.000871135,0.002612851,0.002650073,0.005434957,0.005867819,0.007597951,0.007321963,0.008913078,0.009934891
111.22,0.000763651,0.002478466,0.002463827,0.005238874,0.005686785,0.007449748,0.007204624,0.008855077,0.009897565
110.72,0.00066418,0.002345641,0.002279552,0.005044315,0.005502913,0.007291166,0.007075526,0.008809057,0.009906303
110.22,0.000590453,0.002227798,0.002117691,0.004859042,0.005325781,0.007148135,0.006948021,0.008800722,0.010009723
109.72,0.000551243,0.002132967,0.001994479,0.004687754,0.005160422,0.007028815,0.006831303,0.008847514,0.010250084
109.22,0.000543122,0.002061604,0.00191106,0.004531392,0.00500558,0.006915254,0.006727806,0.008954994,0.010647032
108.72,0.000554271,0.00200474,0.001846084,0.004384445,0.004853867,0.006770497,0.006623482,0.009107881,0.011183976
108.22,0.000575405,0.001954637,0.00177938,0.004243915,0.004702753,0.006575941,0.006503712,0.009267314,0.011780535
107.72,0.000604586,0.001916693,0.001723113,0.004116694,0.004561789,0.006368668,0.00637975,0.009402148,0.012339016
107.22,0.000644214,0.001906118,0.001713846,0.004013949,0.004444374,0.006213036,0.006284342,0.009505589,0.012808986
106.72,0.000689005,0.001920712,0.001749361,0.003933885,0.004350367,0.006115552,0.006219199,0.009573258,0.013187085
106.22,0.000726293,0.001938912,0.001789423,0.003861647,0.004265109,0.006037682,0.006154427,0.009591377,0.01347806
105.72,0.00074476,0.001940179,0.001800465,0.003779015,0.004169673,0.005939541,0.006058423,0.009548472,0.013697986
105.22,0.000735779,0.001908822,0.001755288,0.00366931,0.004046907,0.005796079,0.005907834,0.009433105,0.013845567
104.72,0.000694717,0.001836786,0.001637659,0.003520803,0.003882107,0.005579991,0.005684552,0.009233566,0.013921618
104.22,0.000624315,0.001726373,0.001461839,0.003331613,0.00367229,0.005287659,0.005391406,0.008948518,0.013927492
103.72,0.000538525,0.001591513,0.001283478,0.00311074,0.003429707,0.00496438,0.005058983,0.008591546,0.013852293
103.22,0.000453227,0.001443861,0.001125848,0.002864059,0.003157899,0.004619219,0.004694967,0.008168779,0.013678544
102.72,0.000376005,0.001287275,0.000961135,0.00259177,0.002852906,0.004218085,0.004284496,0.007680213,0.013400908
102.22,0.00031029,0.001126467,0.000768082,0.002301058,0.002527478,0.003762811,0.003837025,0.007140945,0.013040071
101.72,0.000259736,0.000972283,0.000552828,0.002009987,0.002207536,0.003289614,0.003386161,0.006581044,0.012623306
101.22,0.000225362,0.000839849,0.000338348,0.001741422,0.001919268,0.002835151,0.002966025,0.006034741,0.012167077
100.72,0.000207156,0.00074931,1.89E-04,0.001521409,0.001695766,0.002461338,0.002617377,0.005536369,0.011695628
100.22,0.000203848,0.000710232,1.44E-04,0.001363565,0.001552856,0.002198738,0.002353196,0.005095366,0.011215456
99.72,0.000213951,0.000717596,1.80E-04,0.001265771,0.001480227,0.002028903,0.002156427,0.004696729,0.010704446
99.22,0.000238364,0.000761865,0.000267105,0.001215237,0.001454369,0.001914001,0.001998644,0.0043115,0.010126394
98.72,2.75E-04,0.000822847,0.00036303,0.001190264,0.001440511,0.001801491,0.001840314,0.003901983,0.009443339
98.22,0.000318573,0.000874907,0.000413523,0.001170763,0.001412956,0.001660825,0.001659337,0.003459554,0.008655865
97.72,0.000358787,0.000902495,0.000409722,0.001149659,0.001372516,0.001501285,0.001462692,0.003010335,0.007810205
97.22,0.000392494,0.000911508,0.000411057,0.001133942,0.001341783,0.001367682,0.001281505,0.002596367,0.006972051
96.72,0.000415512,0.000909062,0.000469922,0.001129121,0.001335642,0.001292541,0.00114113,0.002247784,0.006186785
96.22,0.000417818,0.000888855,0.000558135,0.001123138,0.001334131,0.001243522,0.001032506,0.001950749,0.005450323
95.72,0.000393686,0.000836651,0.000608393,0.001094142,0.001304507,0.001165474,0.00092704,0.001672429,0.004728126
95.22,0.000349078,0.000753911,0.000587064,0.001036671,0.00123699,0.001049185,0.000819477,0.001411001,0.004021408
94.72,0.000298219,0.000660565,0.000550045,0.000969914,0.001154928,0.000936251,0.000731515,0.00119238,0.003379879
94.22,0.000250995,0.000570945,0.000522741,0.000907762,0.001078672,0.000851987,0.000676374,0.001034893,0.002855354
