coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
125.22,1.58E-03,2.92E-03,1.62E-03,2.10E-03,1.88E-03,2.18E-03,2.41E-03,4.31E-03,6.14E-03
124.72,7.70E-04,1.90E-03,1.11E-03,1.63E-03,1.63E-03,1.85E-03,2.24E-03,3.98E-03,5.69E-03
124.22,0.00101706,0.002407522,0.001773647,0.002319358,0.002500253,0.002703336,0.002997058,0.004590554,0.006288111
123.72,0.001246405,0.002941777,0.002308282,0.003118681,0.003324692,0.003603778,0.003708444,0.005292696,0.007060897
123.22,0.001495809,0.003076461,0.002557286,0.003558512,0.003519653,0.003720423,0.003675258,0.005400256,0.007391952
122.72,0.001493966,0.00307713,0.002553529,0.00358178,0.003485242,0.003717082,0.003668103,0.005432765,0.007445004
122.22,0.001610142,0.003261162,0.002710288,0.003644345,0.003500515,0.003715044,0.003595305,0.005266116,0.007227889
121.72,0.001625343,0.003276559,0.002722428,0.003658124,0.003491589,0.003693838,0.003540033,0.005204115,0.007176974
121.22,0.001502974,0.003256986,0.002848425,0.004036131,0.003920551,0.004314057,0.004149541,0.005787479,0.007632871
120.72,0.00170653,0.003674102,0.003315538,0.004443864,0.004262905,0.00468034,0.004460795,0.006029459,0.007789889
120.22,0.002006838,0.003884497,0.003590777,0.004881988,0.004783046,0.005261265,0.004892486,0.006383195,0.007941248
119.72,0.001779652,0.003500745,0.003317756,0.004745832,0.004667344,0.005201621,0.004901629,0.006417882,0.00790069
119.22,0.001822645,0.003396415,0.003322038,0.004840257,0.00477213,0.005364404,0.005014917,0.006460207,0.007898286
118.72,0.001474836,0.003277091,0.003206063,0.005001457,0.004941641,0.005556393,0.005221924,0.006686429,0.008105732
118.22,0.001449242,0.003268716,0.003153584,0.005217256,0.00521219,0.005856008,0.005537739,0.007078077,0.008536924
117.72,0.001287734,0.002981873,0.002889054,0.005248868,0.005353415,0.006175413,0.005877032,0.007400076,0.008692693
117.22,0.001284855,0.003027411,0.002944002,0.005500204,0.005649708,0.006594856,0.006193889,0.007719693,0.008964032
116.72,0.001194774,0.002928099,0.00286443,0.005458733,0.005651356,0.00666289,0.00621458,0.007799077,0.008971778
116.22,0.001308197,0.003346099,0.003574628,0.006450969,0.006596906,0.007705312,0.007246754,0.008764399,0.009976927
115.72,0.001345881,0.003363091,0.003641348,0.006501759,0.006646955,0.0077669,0.007301555,0.008787235,0.009972064
115.22,0.001454737,0.003433909,0.003722593,0.006542434,0.006665299,0.007789367,0.007314781,0.008735522,0.009934978
114.72,0.001498009,0.003487367,0.003793143,0.006708503,0.006800019,0.00805702,0.007567931,0.009018993,0.010361896
114.22,0.001202905,0.002982027,0.003151769,0.006015518,0.006372839,0.007845602,0.007457814,0.008870747,0.009886224
113.72,0.001180064,0.002980732,0.003129637,0.005992902,0.006380764,0.007946104,0.0075335,0.008952416,0.009970988
113.22,0.001035098,0.002819702,0.002996843,0.005841671,0.006259743,0.007833616,0.007445695,0.008902496,0.009941887
