coord,Stage 1,Stage 2
126,0.83167,0.72213
125.29,1.1607,1.0638
125,1.4899,1.4057
124,1.8192,1.7476
123.5,2.1488,2.0897
123.4,2.4793,2.4328
123,2.8111,2.777
122.5,3.1447,3.1231
122,3.4808,3.4715
121.9,3.8292,3.832
121.5,4.1738,4.1887
121.4,4.5092,4.5362
121,4.8271,4.8662
120,5.1276,5.1786
119.5,5.4089,5.4718
119.3,5.67,5.7444
119,5.9133,5.9992
118.5,6.1389,6.2361
118.3,6.3496,6.4578
118,6.5567,6.6763
117,6.7604,6.8919
116.5,6.983,7.1281
116.3,7.2207,7.3809
116,7.4555,7.631
115.5,7.6747,7.8651
115.3,7.8738,8.079
115.2,8.0531,8.2725
115,8.2064,8.4394
114,8.3329,8.5806
113.5,8.4341,8.6979
113,8.5094,8.7907
112.96,8.5624,8.8645
112.55,8.6075,8.9383
112.14,8.6449,9.012
111.73,8.6927,9.1082
111.31,8.7663,9.2474
110.9,8.8433,9.4027
110.49,8.9196,9.5718
110.08,8.9953,9.7555
109.67,9.0704,9.9555
109.26,9.1497,10.181
108.85,9.2547,10.465
108.44,9.374,10.791
108.03,9.4896,11.133
107.62,9.5869,11.468
107.2,9.6645,11.794
106.79,9.7133,12.098
106.38,9.7282,12.372
105.97,9.7074,12.613
105.56,9.6461,12.811
105.15,9.5441,12.968
104.74,9.3995,13.078
104.33,9.2133,13.14
103.92,8.9852,13.152
103.51,8.7152,13.115
103.09,8.4087,13.028
102.68,8.0667,12.891
102.27,7.6889,12.704
101.86,7.2855,12.47
101.45,6.863,12.19
101.04,6.4215,11.864
100.63,5.9722,11.495
100.22,5.5365,11.088
99.81,5.1149,10.643
99.4,4.714,10.162
98.99,4.35,9.6529
98.57,4.021,9.1187
98.16,3.7275,8.5592
97.75,3.4707,7.9832
97.34,3.2431,7.4016
96.93,3.0449,6.8147
96.52,2.8727,6.2305
96.11,2.7197,5.6743
95.7,2.5856,5.1476
95.29,2.4678,4.6623
94.88,2.3622,4.2287
94.46,2.2691,3.8461
94.05,2.1863,3.5173
93.64,2.1115,3.2353
93.23,2.0436,2.9973
92.82,1.9794,2.7927
92.41,1.9187,2.6202
92,1.8595,2.4712
91.59,1.801,2.342
91.18,1.7426,2.2295
90.77,1.6833,2.1276
90.35,1.6232,2.0359
89.94,1.5619,1.9497
89.53,1.4993,1.8682
89.12,1.4354,1.7894
88.71,1.3705,1.7118
88.3,1.3044,1.635
87.89,1.2376,1.5575
87.48,1.1701,1.4794
87.07,1.1023,1.4
86.66,1.0346,1.3193
86.24,0.96712,1.2374
85.83,0.90092,1.1546
85.42,0.83644,1.0713
85.01,0.77432,0.98772
84.6,0.7129,0.90323
