coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
126,2.5338,2.1228,1.9321,1.2175,1.082,1.0429,1.0426,1.0083,0.8975
125.29,2.436,2.2759,2.1259,1.504,1.3816,1.3512,1.3522,1.3365,1.245
125,2.3381,2.429,2.3196,1.7905,1.6814,1.6595,1.6618,1.6649,1.5927
124,2.2402,2.5822,2.5135,2.0772,1.9812,1.968,1.9715,1.9934,1.9404
123.5,2.1422,2.7354,2.7074,2.3641,2.2813,2.2767,2.2815,2.322,2.2884
123.4,2.044,2.889,2.9018,2.6517,2.5822,2.5862,2.5923,2.6516,2.6372
123,1.9456,3.043,3.0967,2.9403,2.8841,2.8968,2.9042,2.9823,2.987
122.5,1.8469,3.1976,3.2925,3.2304,3.1875,3.2091,3.2178,3.3148,3.3386
122,1.7477,3.3529,3.4892,3.5223,3.4929,3.5233,3.5334,3.6493,3.6923
121.9,1.6478,3.5193,3.6982,3.8278,3.8119,3.8515,3.8631,3.9987,4.0611
121.5,1.5467,3.6784,3.8996,4.1268,4.1248,4.1736,4.1867,4.3418,4.4232
121.4,1.4428,3.8241,4.087,4.4126,4.4248,4.4826,4.4972,4.671,4.7713
121,1.3406,3.9455,4.2484,4.6741,4.7013,4.768,4.7839,4.9746,5.0929
120,1.2408,4.0424,4.3834,4.9112,4.9543,5.0295,5.0467,5.2525,5.3879
119.5,1.1445,4.1132,4.4902,5.1219,5.1819,5.2653,5.2837,5.5025,5.6537
119.3,1.0553,4.1519,4.562,5.3035,5.3822,5.4738,5.4936,5.7223,5.8876
119,0.97304,4.1593,4.599,5.4581,5.5578,5.6582,5.6795,5.9154,6.0928
118.5,0.89761,4.1353,4.6013,5.5859,5.709,5.8183,5.8414,6.0816,6.2693
118.3,0.82978,4.0789,4.5671,5.6887,5.8382,5.9576,5.9828,6.2244,6.4201
118,0.76881,3.9942,4.4996,5.7767,5.957,6.0888,6.1172,6.3587,6.5612
117,0.7147,3.8814,4.3991,5.8501,6.0655,6.2121,6.2447,6.4849,6.6928
116.5,0.66739,3.7423,4.2669,5.9253,6.1827,6.3485,6.3867,6.6268,6.841
116.3,0.62691,3.5837,4.1088,6.0022,6.3074,6.4977,6.5435,6.7861,7.0077
116,0.59346,3.4058,3.925,6.0686,6.4256,6.6444,6.6994,6.9452,7.1741
115.5,0.56615,3.22,3.7259,6.1159,6.5263,6.7776,6.8439,7.0941,7.3297
115.3,0.54425,3.032,3.5172,6.1408,6.6045,6.8928,6.9726,7.2293,7.4713
115.2,0.52774,2.8419,3.2988,6.1434,6.6605,6.9901,7.0856,7.3509,7.599
115,0.5158,2.6558,3.0769,6.1195,6.6887,7.0641,7.1778,7.4541,7.7077
114,0.50628,2.4817,2.8622,6.0651,6.682,7.1093,7.2445,7.5382,7.799
113.5,0.49907,2.3191,2.6546,5.9805,6.6407,7.1263,7.2863,7.6048,7.8747
