coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
125.22,0.001146549,0.002664813,0.00258482,0.001693517,0.002461631,0.002331717,0.002635256,0.004294614,0.005738024
124.72,0.000408946,0.00194195,0.00165071,0.001342148,0.002032337,0.002118817,0.002352812,0.003797862,0.005293478
124.22,0.000630532,0.002375796,0.002168709,0.001994518,0.002883217,0.00299341,0.003214324,0.004428327,0.005891492
123.72,0.000863277,0.002725414,0.002785884,0.002731916,0.003689944,0.003859336,0.00404655,0.005201294,0.006617375
123.22,0.001086567,0.002861576,0.002955992,0.003147581,0.003959136,0.003953907,0.004082065,0.005370197,0.006974764
122.72,0.001083789,0.002853238,0.002939757,0.003192801,0.003982541,0.00392696,0.004091347,0.005491889,0.006965752
122.22,0.001206496,0.003001431,0.003151422,0.003212593,0.004004663,0.003889009,0.00404917,0.005326032,0.0067554
121.72,0.001245768,0.002999709,0.003145502,0.003209489,0.003998105,0.003827638,0.00400597,0.005276718,0.006710065
121.22,0.00111461,0.002937507,0.003176767,0.003612274,0.004306962,0.004502298,0.004597246,0.005865551,0.00720872
120.72,0.001356643,0.003301398,0.003610328,0.004025869,0.004659362,0.004825977,0.004936896,0.006211703,0.007371723
120.22,0.001654239,0.003484025,0.003853953,0.004415631,0.005174354,0.005436202,0.005415259,0.006643717,0.007539738
119.72,0.00154894,0.003106086,0.003529175,0.004272137,0.004993784,0.005388255,0.005392765,0.006668035,0.007500121
119.22,0.001606518,0.003023465,0.003489061,0.004348607,0.005072163,0.005493807,0.005468032,0.006701109,0.0074937
118.72,0.001207145,0.002775165,0.003414067,0.004422127,0.005237915,0.00571578,0.005702098,0.007014626,0.007664607
118.22,0.001159361,0.00276943,0.003337783,0.004593522,0.005552084,0.006001528,0.005996579,0.007407989,0.008056096
117.72,0.001007536,0.002504292,0.003021077,0.004702803,0.00553507,0.006326593,0.00627699,0.007720654,0.008295332
117.22,0.001036663,0.002614684,0.003074899,0.004953857,0.005802306,0.006707038,0.006583584,0.008061131,0.008565844
116.72,0.001005055,0.002568835,0.00301079,0.004856165,0.005759316,0.00677554,0.006644616,0.008154265,0.008635673
116.22,0.00109995,0.003052429,0.003717302,0.005793327,0.006726927,0.007779942,0.007614634,0.009134633,0.009578653
115.72,0.001102098,0.003094973,0.003784641,0.00584849,0.006773091,0.007839971,0.007656267,0.009165091,0.009574918
115.22,0.00124023,0.003207854,0.003855844,0.005880013,0.006783374,0.007847649,0.007658124,0.009125787,0.009457468
114.72,0.001289198,0.003260713,0.00389605,0.006003497,0.006953732,0.00814799,0.007901673,0.009378684,0.009819802
114.22,0.001077926,0.002769498,0.003204873,0.005301054,0.006321981,0.007974469,0.007809468,0.009239274,0.009383415
113.72,0.001069908,0.002768926,0.003173052,0.005251797,0.006312401,0.008066342,0.007895476,0.009277776,0.009469047
113.22,0.00097368,0.002533386,0.002982309,0.005101632,0.006182185,0.007958094,0.007800633,0.009218555,0.009440638
112.72,0.001093015,0.002753406,0.003198777,0.005321441,0.006406681,0.008069661,0.007947727,0.009388741,0.009663957
112.22,0.000962814,0.002518103,0.002847979,0.004794037,0.00584632,0.007775549,0.007574509,0.009203838,0.009555516
111.72,0.000964925,0.002526239,0.002839725,0.004805107,0.005872425,0.007804684,0.00761007,0.009237117,0.009566709
111.22,0.00070031,0.002202439,0.002448146,0.004618219,0.005700054,0.007670217,0.007449738,0.009116399,0.009528181
110.72,0.000536093,0.002076403,0.002312612,0.004356093,0.00545735,0.007434375,0.007247087,0.00892061,0.009419254
110.22,0.000496551,0.001882962,0.002103733,0.004244465,0.00526959,0.007290403,0.0071224,0.008930007,0.009429402
109.72,0.000407554,0.001777269,0.001897807,0.004029648,0.005045445,0.007205009,0.006908511,0.008838617,0.009613883
109.22,0.000591554,0.001812618,0.001887053,0.004010053,0.005048195,0.007209168,0.006902425,0.008848871,0.009660857
108.72,0.000618679,0.001837309,0.001949361,0.003953257,0.005009096,0.00723769,0.00697983,0.009194935,0.010560672
108.22,0.000641482,0.001821941,0.001951452,0.00374464,0.004859529,0.006897828,0.006788564,0.009346352,0.011451132
107.72,0.000583084,0.001563864,0.001597678,0.003209811,0.004366578,0.006238989,0.006201775,0.009105331,0.012004698
107.22,0.000667703,0.001549712,0.001636212,0.003197008,0.004365438,0.006231504,0.006188459,0.009113313,0.012017495
106.72,0.000751467,0.001698501,0.001795246,0.003330442,0.004464123,0.006280511,0.006291084,0.009303676,0.012601034
106.22,0.000799945,0.001719342,0.0018076,0.003291304,0.004401577,0.006263121,0.006259231,0.009261874,0.012506221
