coord,Stage 1,Stage 2,Stage 3
0,-1.31E-05,-0.00013851,-1.94E-05
2.352,2.40E-06,-8.18E-05,-1.07E-05
4.704,1.44E-05,-4.83E-05,-4.39E-06
7.056,2.29E-05,-3.83E-05,-5.60E-07
9.408,2.80E-05,-5.16E-05,8.27E-07
11.76,2.96E-05,-8.82E-05,-2.30E-07
14.112,2.77E-05,-0.00014814,-3.73E-06
16.464,2.24E-05,-0.00023144,-9.68E-06
18.816,1.36E-05,-0.00033809,-1.81E-05
21.168,1.35E-06,-0.00046808,-2.89E-05
23.52,-1.44E-05,-0.00062141,-4.22E-05
25.872,-3.36E-05,-0.00079808,-5.79E-05
28.224,-5.62E-05,-0.0009981,-7.61E-05
30.576,-8.07E-05,-0.0012238,-9.46E-05
32.928,-0.0001018,-0.0014613,-0.00010766
35.28,-0.00012353,-0.0016918,-0.00012065
37.632,-0.00014591,-0.0019152,-0.00013359
39.984,-0.00016894,-0.0021317,-0.00014648
42.336,-0.00019262,-0.0023411,-0.00015932
44.688,-0.00021694,-0.0025435,-0.00017211
47.04,-0.00024192,-0.0027389,-0.00018485
49.392,-0.00026754,-0.0029273,-0.00019754
51.744,-0.00029039,-0.00308,-0.00020116
54.096,-0.00032957,-0.0033318,-0.00021124
56.448,-0.00038877,-0.00371,-0.00023238
58.8,-0.00046798,-0.0042145,-0.00026456
61.152,-0.00056722,-0.0048453,-0.00030779
63.504,-0.00068647,-0.0056026,-0.00036206
65.856,-0.00082574,-0.0064861,-0.00042739
68.208,-0.00098504,-0.007496,-0.00050376
70.56,-0.0011738,-0.0086549,-0.00059319
72.912,-0.0014357,-0.010037,-0.00070606
75.264,-0.0017541,-0.011585,-0.00083951
77.616,-0.0021291,-0.0133,-0.00099355
79.968,-0.0025606,-0.015181,-0.0011682
82.32,-0.0030018,-0.017146,-0.0013481
84.672,-0.0034314,-0.01912,-0.0015406
87.024,-0.0038496,-0.021105,-0.0017457
89.376,-4.26E-03,-0.0231,-0.0019635
91.728,-4.65E-03,-0.025112,-0.0022302
94.08,-5.05E-03,-0.027103,-0.0025886
96.432,-5.43E-03,-0.029054,-0.003048
98.784,-5.78E-03,-0.030866,-0.003616
101.14,-6.08E-03,-0.03247,-0.0042893
103.49,-6.26E-03,-0.033781,-0.005078
105.84,-6.37E-03,-0.034754,-0.0059793
108.19,-6.47E-03,-0.035312,-0.0069792
110.54,-6.53E-03,-0.035406,-0.0080474
112.9,-6.47E-03,-0.034984,-0.0091216
115.25,-6.32E-03,-0.034157,-0.01009
117.6,-6.08E-03,-0.032912,-0.010828
119.95,-5.77E-03,-0.031299,-0.011242
122.3,-5.37E-03,-0.029356,-0.011384
124.66,-4.90E-03,-0.027201,-0.011337
127.01,-4.39E-03,-0.024984,-0.011128
129.36,-3.88E-03,-0.022753,-0.010741
131.71,-3.38E-03,-2.06E-02,-0.01021
134.06,-2.91E-03,-1.85E-02,-0.0096132
136.42,-2.50E-03,-1.65E-02,-0.0089426
138.77,-2.13E-03,-1.47E-02,-0.008189
141.12,-1.82E-03,-1.30E-02,-0.0073538
143.47,-1.56E-03,-1.15E-02,-0.0065345
145.82,-1.37E-03,-1.02E-02,-0.0057612
148.18,-1.22E-03,-9.12E-03,-0.0050763
150.53,-1.10E-03,-8.12E-03,-0.0044675
152.88,-9.86E-04,-0.0072564,-0.0039346
155.23,-8.95E-04,-0.0065149,-0.0034776
157.58,-7.80E-04,-0.0057758,-0.0030733
159.94,-6.62E-04,-0.0050631,-0.0027074
162.29,-5.41E-04,-0.0043767,-0.0023797
164.64,-4.17E-04,-0.0037165,-0.0020902
166.99,-3.13E-04,-0.0031328,-0.0018176
169.34,-2.30E-04,-0.002636,-0.0015706
171.7,-1.64E-04,-0.0022167,-0.001355
174.05,-1.14E-04,-0.0018749,-0.0011708
176.4,-8.15E-05,-0.0016105,-0.0010181
178.75,-6.54E-05,-0.0014236,-0.00089679
181.1,-6.59E-05,-0.0013141,-0.00080695
183.46,-8.31E-05,-0.0012821,-0.00074854
185.81,-1.07E-04,-0.0012983,-0.00071576
188.16,-1.08E-04,-0.0012512,-0.00067562
190.51,-1.05E-04,-0.0011921,-0.00063176
192.86,-9.90E-05,-0.0011208,-0.0005842
195.22,-8.93E-05,-0.0010375,-0.00053293
197.57,-7.61E-05,-0.00094203,-0.00047795
199.92,-5.95E-05,-0.00083446,-0.00041926
202.27,-3.94E-05,-0.00071479,-0.00035686
204.62,-1.59E-05,-0.000583,-0.00029076
206.98,-5.68E-06,-0.00048793,-0.00023831
209.33,-1.21E-06,-0.00041325,-0.00019471
211.68,2.49E-06,-0.00034544,-0.0001553
214.03,5.42E-06,-0.00028451,-0.00012007
216.38,7.57E-06,-0.00023046,-8.90E-05
218.74,8.94E-06,-0.00018328,-6.22E-05
221.09,9.55E-06,-0.00014298,-3.95E-05
223.44,9.38E-06,-0.00010955,-2.10E-05
225.79,8.43E-06,-8.30E-05,-6.69E-06
228.14,6.71E-06,-6.33E-05,3.43E-06
230.5,4.22E-06,-5.05E-05,9.37E-06
232.85,9.53E-07,-4.46E-05,1.11E-05
235.2,-3.09E-06,-4.56E-05,8.69E-06
