coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2,,,0.021584,,,0.052082,,,0.065411,,,0.082222,,,0.100693,,,0.120041,,,0.139896,,,0.160034,,,0.180328,,,0.200703
4,,,0.03336,,,0.068928,,,0.08902,,,0.113155,,,0.139267,,,0.166405,,,0.194172,,,0.222298,,,0.250633,,,0.279099
6,,,0.04343,,,0.085011,,,0.112259,,,0.144173,,,0.178288,,,0.213631,,,0.24976,,,0.286381,,,0.323307,,,0.360451
8,,,0.051117,,,0.097378,,,0.130634,,,0.169048,,,0.209675,,,0.25164,,,0.294502,,,0.337959,,,0.381821,,,0.42598
10,,,0.057499,,,0.108364,,,0.147747,,,0.192436,,,0.239273,,,0.287529,,,0.336788,,,0.386761,,,0.437256,,,0.488155
12,,,0.062698,,,0.117943,,,0.163113,,,0.213589,,,0.26609,,,0.32003,,,0.375061,,,0.43092,,,0.487431,,,0.544468
14,,,0.067001,,,0.126453,,,0.177223,,,0.233124,,,0.29092,,,0.350151,,,0.410553,,,0.471901,,,0.534046,,,0.596855
16,,,0.070549,,,0.133968,,,0.190025,,,0.250908,,,0.313568,,,0.377659,,,0.442997,,,0.509407,,,0.576763,,,0.644936
18,,,0.073479,,,0.140659,,,0.201611,,,0.267025,,,0.334141,,,0.402695,,,0.47258,,,0.543671,,,0.615871,,,0.689049
20,,,0.075893,,,0.146576,,,0.211983,,,0.281456,,,0.352589,,,0.425205,,,0.499252,,,0.574642,,,0.65131,,,0.72913
22,,,0.077873,,,0.151737,,,0.221172,,,0.294231,,,0.368954,,,0.445229,,,0.523064,,,0.602386,,,0.68317,,,0.765278
24,,,0.079491,,,0.156208,,,0.229195,,,0.305378,,,0.383259,,,0.462803,,,0.544048,,,0.626953,,,0.711494,,,0.797535
26,,,0.080807,,,0.160034,,,0.236088,,,0.314953,,,0.39558,,,0.478012,,,0.562309,,,0.648445,,,0.736397,,,0.826031
28,,,0.081863,,,0.163212,,,0.241905,,,0.323029,,,0.406021,,,0.490978,,,0.57798,,,0.667004,,,0.758026,,,0.850914
30,,,0.082714,,,0.165821,,,0.246716,,,0.329708,,,0.4147,,,0.501839,,,0.591213,,,0.682796,,,0.776562,,,0.872372
32,,,0.083385,,,0.167908,,,0.250587,,,0.335091,,,0.421753,,,0.510757,,,0.602188,,,0.696014,,,0.792206,,,0.890614
34,,,0.083908,,,0.169521,,,0.253597,,,0.339291,,,0.42733,,,0.517902,,,0.611092,,,0.706867,,,0.805176,,,0.905876
36,,,0.084312,,,0.170708,,,0.255836,,,0.342442,,,0.43158,,,0.523457,,,0.61813,,,0.715569,,,0.815712,,,0.918407
38,,,0.084621,,,0.171513,,,0.257397,,,0.344666,,,0.434669,,,0.527599,,,0.623505,,,0.722351,,,0.824055,,,0.928474
40,,,0.084846,,,0.171993,,,0.258373,,,0.346096,,,0.436749,,,0.530514,,,0.627422,,,0.727432,,,0.830456,,,0.936344
42,,,0.085007,,,0.172192,,,0.258854,,,0.346859,,,0.437977,,,0.532383,,,0.630089,,,0.731049,,,0.835163,,,0.942284
44,,,0.085117,,,0.172161,,,0.258938,,,0.347073,,,0.438499,,,0.533375,,,0.631695,,,0.73341,,,0.838409,,,0.946552
46,,,0.085186,,,0.171951,,,0.258701,,,0.346851,,,0.438454,,,0.533653,,,0.632431,,,0.734726,,,0.840439,,,0.949409
48,,,0.085224,,,0.171604,,,0.258228,,,0.346298,,,0.437969,,,0.533367,,,0.632465,,,0.735199,,,0.841461,,,0.951099
50,,,0.085239,,,0.171165,,,0.257591,,,0.345509,,,0.43716,,,0.532661,,,0.631966,,,0.735012,,,0.84169,,,0.951847
52,,,0.085236,,,0.170673,,,0.256847,,,0.344566,,,0.436134,,,0.531654,,,0.631077,,,0.734337,,,0.841316,,,0.951866
54,,,0.085224,,,0.170155,,,0.256058,,,0.343548,,,0.434986,,,0.530468,,,0.629932,,,0.733322,,,0.840511,,,0.951355
56,,,0.085201,,,0.169643,,,0.25526,,,0.34251,,,0.433788,,,0.529194,,,0.628651,,,0.732105,,,0.839432,,,0.950489
58,,,0.085178,,,0.169159,,,0.254501,,,0.341511,,,0.432621,,,0.52792,,,0.627338,,,0.730812,,,0.838223,,,0.949421
60,,,0.085155,,,0.16872,,,0.253811,,,0.340591,,,0.431534,,,0.526722,,,0.62608,,,0.729546,,,0.836994,,,0.948288
62,,,0.085133,,,0.168343,,,0.253212,,,0.339794,,,0.430584,,,0.525661,,,0.62495,,,0.72839,,,0.835854,,,0.947205
64,,,0.085114,,,0.168041,,,0.252728,,,0.339146,,,0.429806,,,0.524788,,,0.624012,,,0.727417,,,0.834881,,,0.946262
66,,,0.085098,,,0.16782,,,0.252373,,,0.338669,,,0.42923,,,0.524136,,,0.623306,,,0.726685,,,0.834141,,,0.945541
68,,,0.085087,,,0.167686,,,0.252155,,,0.338375,,,0.428875,,,0.523735,,,0.622871,,,0.726227,,,0.833679,,,0.945087
70,,,0.085087,,,0.167641,,,0.252083,,,0.338276,,,0.428757,,,0.523598,,,0.622723,,,0.726074,,,0.833523,,,0.944931
72,,,0.085087,,,0.167686,,,0.252155,,,0.338375,,,0.428875,,,0.523735,,,0.622871,,,0.726227,,,0.833679,,,0.945087
74,,,0.085098,,,0.16782,,,0.252373,,,0.338669,,,0.42923,,,0.524136,,,0.623306,,,0.726685,,,0.834141,,,0.945541
76,,,0.085114,,,0.168041,,,0.252728,,,0.339146,,,0.429806,,,0.524788,,,0.624012,,,0.727417,,,0.834881,,,0.946262
78,,,0.085133,,,0.168343,,,0.253212,,,0.339794,,,0.430584,,,0.525661,,,0.62495,,,0.72839,,,0.835854,,,0.947205
80,,,0.085155,,,0.16872,,,0.253811,,,0.340591,,,0.431534,,,0.526722,,,0.62608,,,0.729546,,,0.836994,,,0.948288
82,,,0.085178,,,0.169159,,,0.254501,,,0.341511,,,0.432621,,,0.52792,,,0.627338,,,0.730812,,,0.838223,,,0.949421
84,,,0.085201,,,0.169643,,,0.25526,,,0.34251,,,0.433788,,,0.529194,,,0.628651,,,0.732105,,,0.839432,,,0.950489
86,,,0.085224,,,0.170155,,,0.256058,,,0.343548,,,0.434986,,,0.530468,,,0.629932,,,0.733322,,,0.840511,,,0.951355
88,,,0.085236,,,0.170673,,,0.256847,,,0.344566,,,0.436134,,,0.531654,,,0.631077,,,0.734337,,,0.841316,,,0.951866
