coord,Stage 1,Stage 2,Stage 3
4.74,1.3384,2.674,6.36
4.24,1.4974,3.017,6.704
3.74,1.7794,3.491,7.755
3.24,1.8387,3.785,7.923
2.74,1.8584,4.031,8.112
2.24,1.9084,4.268,8.318
1.74,1.8906,4.456,8.548
1.24,1.8434,4.601,8.769
0.74,1.7654,4.722,9.005
0.24,1.6992,4.825,9.235
-0.26,1.6309,4.896,9.456
-0.76,1.5619,4.955,9.65
-1.26,1.4898,4.981,9.846
-1.76,1.4222,5,10.005
-2.26,1.3546,5.004,10.098
-2.76,1.2751,4.922,10.061
-3.26,1.2226,4.836,9.952
-3.76,1.1888,4.695,9.749
-4.26,1.1492,4.53,9.446
-4.76,1.0954,4.299,9.026
-5.26,1.0988,4.059,8.557
-5.76,1.0844,3.843,8.006
-6.26,1.0354,3.595,7.453
-6.76,1.0236,3.358,6.902
-7.26,1.017,3.112,6.341
-7.76,0.9675,2.868,5.775
-8.26,0.8809,2.641,5.194
-8.76,0.7994,2.388,4.648
-9.26,0.7046,2.151,4.144
-9.76,0.6348,1.923,3.628
-10.26,0.5708,1.691,3.152
-10.76,0.4672,1.448,2.65
-11.26,0.3317,1.196,2.144
-11.76,0.1984,0.935,1.662
-12.26,0.1025,0.694,1.2
-12.76,0.0634,0.461,0.778
-13.26,0.0287,0.231,0.385
